Date,Open,High,Low,Close,Adj Close,Volume
2019-07-12,217.929993,219.160004,217.690002,219.139999,216.324844,304500
2019-07-15,219.589996,220.000000,219.119995,219.679993,216.857880,280600
2019-07-16,219.509995,219.509995,217.369995,217.820007,215.021805,1653000
2019-07-17,217.919998,218.649994,217.289993,217.289993,214.498611,218000
2019-07-18,217.000000,219.139999,216.520004,218.830002,216.018814,348000
2019-07-19,220.669998,220.899994,217.529999,217.639999,214.844116,369400
2019-07-22,218.509995,220.570007,218.509995,220.000000,217.173782,354100
2019-07-23,221.289993,221.289993,219.500000,221.250000,218.407745,316500
2019-07-24,220.990005,223.369995,220.860001,223.320007,220.451141,332800
2019-07-25,222.889999,222.889999,221.270004,221.740005,218.891434,385000
2019-07-26,222.570007,223.589996,222.529999,223.279999,220.411667,253800
2019-07-29,223.279999,223.669998,220.960007,222.929993,220.066132,528800
2019-07-30,221.240005,222.429993,220.880005,221.580002,218.733490,230100
2019-07-31,222.520004,222.960007,216.050003,218.350006,215.544983,664600
2019-08-01,218.740005,223.199997,216.179993,217.250000,214.459122,880600
2019-08-02,215.509995,216.000000,211.440002,213.199997,210.461136,686600
2019-08-05,207.580002,207.610001,202.619995,204.440002,201.813690,1097000
2019-08-06,206.970001,208.270004,205.169998,207.429993,204.765244,695200
2019-08-07,205.270004,209.250000,204.139999,208.850006,206.167023,462400
2019-08-08,210.520004,214.100006,210.119995,214.020004,211.270615,1096400
2019-08-09,212.889999,213.320007,210.100006,211.580002,208.861938,358700
2019-08-12,210.210007,210.669998,207.820007,208.770004,206.088058,411100
2019-08-13,208.630005,214.539993,208.160004,213.789993,211.043549,423700
2019-08-14,209.779999,210.509995,206.550003,207.220001,204.557968,2258200
2019-08-15,207.360001,207.770004,205.059998,206.809998,204.153229,643200
2019-08-16,208.820007,211.100006,208.289993,210.529999,207.825424,354700
2019-08-19,213.839996,214.460007,212.600006,213.639999,210.895493,658300
2019-08-20,213.360001,214.339996,212.389999,212.690002,209.957703,339400
2019-08-21,214.750000,215.750000,214.149994,215.149994,212.386063,372000
2019-08-22,215.710007,216.149994,212.850006,214.639999,211.882645,259500
2019-08-23,213.470001,215.509995,207.050003,207.789993,205.120636,625900
2019-08-26,210.369995,210.679993,208.860001,210.419998,207.716858,377200
2019-08-27,211.830002,212.179993,208.750000,209.899994,207.203537,362400
2019-08-28,208.770004,210.380005,207.160004,210.000000,207.302261,300700
2019-08-29,212.839996,214.350006,212.289993,213.699997,210.954712,415900
2019-08-30,214.990005,215.220001,211.960007,213.559998,210.816513,317500
2019-09-03,211.960007,212.639999,210.149994,210.929993,208.220291,460500
2019-09-04,213.220001,214.580002,213.059998,214.580002,211.823425,250900
2019-09-05,217.270004,219.770004,217.199997,218.919998,216.107666,438800
2019-09-06,219.410004,219.520004,218.199997,218.610001,215.801636,274900
2019-09-09,219.490005,219.669998,215.630005,216.929993,214.143234,700400
