Date,Open,High,Low,Close,Adj Close,Volume
2019-07-12,85.580002,86.110001,85.580002,85.820000,82.020180,125300
2019-07-15,85.940002,85.940002,84.750000,84.949997,81.188683,171400
2019-07-16,84.860001,84.860001,83.620003,83.889999,80.175621,191900
2019-07-17,84.000000,84.059998,82.830002,82.830002,79.162552,185200
2019-07-18,82.550003,82.779999,81.930000,82.730003,79.066986,191700
2019-07-19,82.889999,83.440002,82.529999,83.180000,79.497055,163000
2019-07-22,83.430000,83.849998,82.900002,83.570000,79.869781,199300
2019-07-23,83.680000,84.040001,83.370003,83.930000,80.213844,165300
2019-07-24,83.739998,84.779999,83.739998,84.199997,80.471886,143300
2019-07-25,84.529999,84.529999,82.879997,83.150002,79.468391,160800
2019-07-26,83.080002,83.099998,82.370003,82.720001,79.057434,167900
2019-07-29,82.690002,82.699997,81.599998,82.250000,78.608238,211000
2019-07-30,81.919998,83.589996,81.750000,83.379997,79.688202,246200
2019-07-31,83.389999,84.199997,82.620003,82.970001,79.296364,177300
2019-08-01,82.099998,82.320000,80.400002,80.870003,77.289345,361400
2019-08-02,81.180000,81.589996,78.930000,79.739998,76.209366,672100
2019-08-05,78.250000,78.510002,76.800003,77.230003,73.810509,819600
2019-08-06,77.570000,78.040001,76.300003,77.199997,73.781837,565100
2019-08-07,75.879997,76.949997,75.279999,76.529999,73.141502,533300
2019-08-08,77.059998,78.750000,76.769997,78.699997,75.215416,573800
2019-08-09,78.860001,78.910004,77.480003,77.739998,74.297913,216500
2019-08-12,77.570000,77.620003,76.449997,76.730003,73.332642,164500
2019-08-13,76.559998,78.320000,76.000000,77.580002,74.145004,340500
2019-08-14,75.790001,75.849998,74.279999,74.300003,71.010239,451700
2019-08-15,74.330002,74.330002,73.150002,73.919998,70.647057,372600
2019-08-16,74.250000,75.269997,74.120003,75.059998,71.736588,298800
2019-08-19,76.089996,77.050003,76.000000,76.860001,73.456886,324700
2019-08-20,76.540001,76.540001,75.870003,76.169998,72.797440,158800
2019-08-21,76.989998,77.070000,76.449997,76.739998,73.342201,559400
2019-08-22,76.959999,77.220001,76.199997,76.209999,72.835663,185200
2019-08-23,75.339996,75.949997,73.180000,73.610001,70.350792,337600
2019-08-26,74.320000,74.790001,73.589996,73.870003,70.599281,310100
2019-08-27,74.339996,74.550003,72.989998,73.290001,70.044960,383500
2019-08-28,73.750000,74.940002,73.529999,74.559998,71.258713,347100
2019-08-29,75.190002,76.059998,75.190002,75.760002,72.405594,362400
2019-08-30,76.050003,76.709999,75.260002,75.739998,72.386482,211000
2019-09-03,74.489998,75.370003,74.139999,75.290001,71.956398,266100
2019-09-04,76.209999,76.669998,76.120003,76.400002,73.017250,182000
2019-09-05,77.059998,78.300003,76.820000,77.550003,74.116341,942400
2019-09-06,77.290001,77.889999,76.750000,77.779999,74.336151,245900
2019-09-09,78.330002,79.739998,78.190002,79.620003,76.094681,475700
2019-09-10,80.000000,81.820000,80.000000,80.599998,77.031288,580500
2019-09-11,81.059998,81.790001,80.180000,80.760002,77.184212,304900
2019-09-12,79.830002,80.519997,78.879997,80.180000,76.629890,314300
2019-09-13,80.559998,81.260002,80.290001,80.800003,77.222443,169200
2019-09-16,84.620003,84.620003,82.919998,84.059998,80.338089,655600
2019-09-17,84.000000,84.050003,81.989998,82.480003,78.828056,269800
2019-09-18,81.790001,82.230003,81.400002,81.919998,78.292839,202400
2019-09-19,82.519997,82.709999,81.389999,81.459999,77.853203,118600
2019-09-20,81.690002,82.029999,81.250000,81.639999,78.025253,231100
2019-09-23,81.160004,81.910004,81.000000,81.669998,78.053917,162600
2019-09-24,81.370003,81.389999,79.779999,80.300003,76.744583,286700
2019-09-25,79.860001,80.459999,79.660004,80.349998,76.792358,207800
2019-09-26,79.410004,79.410004,78.180000,78.639999,75.793854,337500
2019-09-27,78.019997,79.169998,78.000000,78.489998,75.649284,283200
2019-09-30,78.260002,78.410004,77.910004,78.019997,75.196289,250500
2019-10-01,78.459999,78.660004,76.120003,76.180000,73.422890,373800
2019-10-02,75.680000,75.779999,74.070000,74.190002,71.504906,521800
2019-10-03,73.809998,75.169998,73.250000,75.120003,72.401253,571100
2019-10-04,75.379997,75.589996,74.589996,75.529999,72.796410,281900
2019-10-07,75.629997,75.930000,74.769997,74.769997,72.063911,369100
2019-10-08,74.059998,74.580002,73.379997,73.379997,70.724228,378300
2019-10-09,74.150002,74.540001,74.000000,74.110001,71.427803,208500
2019-10-10,74.349998,75.230003,74.290001,75.040001,72.324142,266900
2019-10-11,75.839996,76.860001,75.820000,76.250000,73.490356,297900
2019-10-14,75.599998,76.230003,75.139999,75.959999,73.210854,205300
2019-10-15,75.889999,77.129997,75.709999,76.339996,73.577095,186700
2019-10-16,76.089996,76.580002,75.279999,75.349998,72.622925,142400
